"q_Is","beta_pre","k_A","k_Is","gamma_H","gamma_NH","m_H","m_NH_mult","H_lag","D_lag","school_closure_effect","lockdown_effect","time_num","q_H","m_Hbar_mult","distancing_effect","testing_effect_Im","testing_effect_A"
0.05,1.48,0.4,0.7,0.11,0.075,0.23,1.58,5,10,0.15,0.7,13,0.593241551939925,1.29396648292966,0.716835439245345,0.436789244112019,0.191071346779905
0.05,1.48,0.4,0.7,0.11,0.075,0.23,1.58,5,10,0.15,0.7,13,0.593241551939925,1.58001382408584,0.696455954655025,0.508528862928722,0.238673975572652
0.05,1.48,0.4,0.7,0.11,0.075,0.23,1.58,5,10,0.15,0.7,13,0.593241551939925,1.35515293203898,0.662345474700358,0.540150800771018,0.184605848396784
0.05,1.48,0.4,0.7,0.11,0.075,0.23,1.58,5,10,0.15,0.7,13,0.593241551939925,1.55391857657542,0.708980854016825,0.564111370490088,0.23670488955194
0.0439379164612314,1.47572901511856,0.407606868755497,0.654673034090087,0.100682532235326,0.0709546631813675,0.230258453839615,1.3913324017288,5,9,0.160023906964788,0.699482052242881,14,0.556577309042346,1.87043600845151,0.701946814759778,0.527727760267331,0.174064028101002
0.0439379164612314,1.47572901511856,0.407606868755497,0.654673034090087,0.100682532235326,0.0709546631813675,0.230258453839615,1.3913324017288,5,9,0.160023906964788,0.699482052242881,14,0.556577309042346,1.91476353773233,0.681309178655028,0.492755262338131,0.18944395533418
0.0475094552272811,1.49233171597758,0.412800746760138,0.688270472421392,0.0909610972525215,0.0724294062026009,0.231407045125593,1.43154097324164,6,8,0.16286798206975,0.710504613319073,13,0.572060059111378,1.74638619051924,0.693830046262683,0.490727083020202,0.176216618430911
0.0475094552272811,1.49233171597758,0.412800746760138,0.688270472421392,0.0909610972525215,0.0724294062026009,0.231407045125593,1.43154097324164,6,8,0.16286798206975,0.710504613319073,13,0.572060059111378,1.20673633614528,0.70257722076738,0.447071674367014,0.201858292070752
0.0475094552272811,1.49233171597758,0.412800746760138,0.688270472421392,0.0909610972525215,0.0724294062026009,0.231407045125593,1.43154097324164,6,8,0.16286798206975,0.710504613319073,13,0.572060059111378,1.625172860793,0.73365270878305,0.592171524238665,0.204760562868626
0.0404993055595199,1.51038872559809,0.436578781973724,0.659161492595784,0.0875035490521147,0.0663267512823864,0.229717366819139,1.39277033505876,7,8,0.14611677342164,0.737649134585019,13,0.555302842407212,1.20944765571878,0.701956886259592,0.549830472898809,0.16808479195631
0.0404993055595199,1.51038872559809,0.436578781973724,0.659161492595784,0.0875035490521147,0.0663267512823864,0.229717366819139,1.39277033505876,7,8,0.14611677342164,0.737649134585019,13,0.555302842407212,1.80035813263506,0.75391399783333,0.41069692510667,0.201415646286786
0.0423274455706796,1.52929701766135,0.405684200159493,0.657620020904388,0.0910065787830329,0.0676412970776173,0.233086332832318,1.3653910152277,5,9,0.150343672860363,0.714956234143528,13,0.547457824307304,1.72133104407706,0.649042179593893,0.466412143925266,0.236347507860767
0.0423274455706796,1.52929701766135,0.405684200159493,0.657620020904388,0.0910065787830329,0.0676412970776173,0.233086332832318,1.3653910152277,5,9,0.150343672860363,0.714956234143528,13,0.547457824307304,1.87038273418001,0.683777325590087,0.496564692218074,0.246780645288692
0.0423274455706796,1.52929701766135,0.405684200159493,0.657620020904388,0.0910065787830329,0.0676412970776173,0.233086332832318,1.3653910152277,5,9,0.150343672860363,0.714956234143528,13,0.547457824307304,1.86400550259463,0.667260898919203,0.485176835681388,0.242364861500439
0.0423274455706796,1.52929701766135,0.405684200159493,0.657620020904388,0.0910065787830329,0.0676412970776173,0.233086332832318,1.3653910152277,5,9,0.150343672860363,0.714956234143528,13,0.547457824307304,1.80111113652613,0.732348784691829,0.47046577699067,0.185754971274426
0.0494704532829849,1.56948332963972,0.407739841508196,0.67560075712484,0.0918463957925139,0.0711700133735011,0.222426646398904,1.44049790756793,6,8,0.145487064240802,0.748884689775311,12,0.565226568684072,1.11293593215386,0.665674360182497,0.525240827238316,0.223607560073945
0.0494704532829849,1.56948332963972,0.407739841508196,0.67560075712484,0.0918463957925139,0.0711700133735011,0.222426646398904,1.44049790756793,6,8,0.145487064240802,0.748884689775311,12,0.565226568684072,1.57463041281392,0.678111494904906,0.474687219680091,0.197123193812315
0.0494704532829849,1.56948332963972,0.407739841508196,0.67560075712484,0.0918463957925139,0.0711700133735011,0.222426646398904,1.44049790756793,6,8,0.145487064240802,0.748884689775311,12,0.565226568684072,1.90587907867758,0.698455880217556,0.557142672642399,0.219117152541164
0.0494704532829849,1.56948332963972,0.407739841508196,0.67560075712484,0.0918463957925139,0.0711700133735011,0.222426646398904,1.44049790756793,6,8,0.145487064240802,0.748884689775311,12,0.565226568684072,1.08814403705967,0.733482210820537,0.441911241435516,0.213370309418724
0.0494704532829849,1.56948332963972,0.407739841508196,0.67560075712484,0.0918463957925139,0.0711700133735011,0.222426646398904,1.44049790756793,6,8,0.145487064240802,0.748884689775311,12,0.565226568684072,1.48965171042435,0.712459695047701,0.470960480213429,0.231426170263181
0.0494704532829849,1.56948332963972,0.407739841508196,0.67560075712484,0.0918463957925139,0.0711700133735011,0.222426646398904,1.44049790756793,6,8,0.145487064240802,0.748884689775311,12,0.565226568684072,1.24580179210095,0.738736752941889,0.487451040531673,0.220798566816753
0.0494704532829849,1.56948332963972,0.407739841508196,0.67560075712484,0.0918463957925139,0.0711700133735011,0.222426646398904,1.44049790756793,6,8,0.145487064240802,0.748884689775311,12,0.565226568684072,1.31138175072563,0.715056501974748,0.543351865662228,0.216830813127688
