"q_Is","beta_pre","k_A","k_Is","gamma_H","gamma_NH","m_H","m_NH_mult","H_lag","D_lag","school_closure_effect","lockdown_effect","time_num","lam_d","lam_h","q_H","m_Hbar_mult","distancing_effect","testing_effect_Im","testing_effect_A"
0.03,1.95332727532135,0.31264994288329,0.695199351925403,0.11,0.075,0.191537340627983,1.36,7,10,0.13,0.74,15,66754.3256352656,45184.5709746704,0.556616643929059,1.47027107098378,0.701548830923073,0.465018459150617,0.216134131135375
0.037701929105109,2.18379723097142,0.275784542505397,0.598007634748641,0.117312413815804,0.0863107732698822,0.192799522933256,1.29869545239592,9,11,0.135222827314337,0.749155500730279,14,70066.9061068525,53018.1725332605,0.55655503210291,1.18978282045768,0.770987857586698,0.505161232337399,0.154789622463604
0.0315144288875511,2.36491470718929,0.272892353164563,0.640317480481457,0.111175003798551,0.0882531417179254,0.206099778757565,1.3364502037754,7,11,0.126184288624146,0.760436315943835,12,53878.3730666993,61825.8917363143,0.555607948876848,1.3833663665146,0.759176652811337,0.474712726710446,0.162952399356483
0.0315144288875511,2.36491470718929,0.272892353164563,0.640317480481457,0.111175003798551,0.0882531417179254,0.206099778757565,1.3364502037754,7,11,0.126184288624146,0.760436315943835,12,53878.3730666993,61825.8917363143,0.555607948876848,1.01922771312934,0.727041249589364,0.492440042085856,0.174943767412026
0.0338581860514576,1.73576661952409,0.376315059261072,0.677585520058227,0.125733501449191,0.0885362360942442,0.218512688074288,1.48756362897315,7,11,0.124377631104279,0.738832985640597,16,49640.0122963027,66229.0966356371,0.604814707790848,1.62325061496349,0.723647370403562,0.483077798986885,0.135393486102593
0.0338581860514576,1.73576661952409,0.376315059261072,0.677585520058227,0.125733501449191,0.0885362360942442,0.218512688074288,1.48756362897315,7,11,0.124377631104279,0.738832985640597,16,49640.0122963027,66229.0966356371,0.604814707790848,1.0682119799107,0.630636910203264,0.47790970605046,0.14684108893869
0.0283342136277946,1.91255238528968,0.435987303597268,0.674921361768368,0.144941269634419,0.0603789861595082,0.186110713392583,1.51238812688936,9,10,0.135034501946591,0.743305077974472,12,55754.8073134556,97844.4582915857,0.596332362653036,1.64375651576281,0.663584830019389,0.474006217338154,0.164004571863348
0.0283342136277946,1.91255238528968,0.435987303597268,0.674921361768368,0.144941269634419,0.0603789861595082,0.186110713392583,1.51238812688936,9,10,0.135034501946591,0.743305077974472,12,55754.8073134556,97844.4582915857,0.596332362653036,1.87809218484183,0.69396177307701,0.569550910606438,0.188756964379882
0.0283342136277946,1.91255238528968,0.435987303597268,0.674921361768368,0.144941269634419,0.0603789861595082,0.186110713392583,1.51238812688936,9,10,0.135034501946591,0.743305077974472,12,55754.8073134556,97844.4582915857,0.596332362653036,1.14210972744352,0.671555279862197,0.43073294656817,0.159379995753508
0.0293413400026282,1.76199568018435,0.424912439154497,0.674523144189023,0.125473217621027,0.0582983108302936,0.190053033494963,1.62986235033303,6,8,0.129093984073661,0.733290446241367,14,54692.7847151637,85699.3855515537,0.625384631112022,1.94928679497508,0.72896411069914,0.498966152425012,0.184457028389679
