,Fairfield,New London,Litchfield,Windham,Tolland,Hartford,Middlesex,New Haven
Fairfield,0,0,1,0,0,0,0,1
New London,0,0,0,1,1,1,1,0
Litchfield,1,0,0,0,0,1,0,1
Windham,0,1,0,0,1,0,0,0
Tolland,0,1,0,1,0,1,0,0
Hartford,0,1,1,0,1,0,1,1
Middlesex,0,1,0,0,0,1,0,1
New Haven,1,0,1,0,0,1,1,0
