"date","percent","count","time","rel_count","rel_percent"
2020-05-15,5.527244,141,75,1.08880308880309,1.01441271478179
2020-05-16,4.328657,108,76,0.833976833976834,0.794436558025879
2020-05-17,4.163127,98,77,0.756756756756757,0.764056908298487
2020-05-18,5.083515,140,78,1.08108108108108,0.932975322201072
2020-05-19,3.643264,96,79,0.741312741312741,0.668646675432957
2020-05-20,3.213611,85,80,0.656370656370656,0.589792645080011
2020-05-21,4.43609,118,81,0.911196911196911,0.814153690323124
2020-05-22,4.362542,116,82,0.895752895752896,0.800655457506412
2020-05-23,4.317386,111,83,0.857142857142857,0.792367996242049
2020-05-24,2.653525,70,84,0.540540540540541,0.487000302319084
2020-05-25,3.666293,98,85,0.756756756756757,0.672873177901223
2020-05-26,3.31565,100,86,0.772200772200772,0.608519818876503
2020-05-27,3.526819,96,87,0.741312741312741,0.647275574650584
2020-05-28,3.017085,83,88,0.640926640926641,0.553724312799907
2020-05-29,3.069054,84,89,0.648648648648649,0.563262161024899
2020-05-30,2.325581,62,90,0.478764478764479,0.42681288100452
2020-05-31,2.072741,53,91,0.409266409266409,0.380409264517636
2020-06-01,1.813298,54,92,0.416988416988417,0.332793802279832
2020-06-02,2.303816,64,93,0.494208494208494,0.422818359912774
2020-06-03,2.408785,68,94,0.525096525096525,0.44208327534946
2020-06-04,2.310116,66,95,0.50965250965251,0.423974596203975
2020-06-05,2.256138,68,96,0.525096525096525,0.41406803707279
2020-06-06,2.360203,65,97,0.501930501930502,0.433167041778167
2020-06-07,1.742031,47,98,0.362934362934363,0.319714200412363
2020-06-08,1.614435,51,99,0.393822393822394,0.296296561394564
2020-06-09,2.1817,67,100,0.517374517374517,0.40040646293875
2020-06-10,1.834556,55,101,0.424710424710425,0.336695273879571
2020-06-11,1.359359,39,102,0.301158301158301,0.249482572789089
2020-06-12,1.511254,47,103,0.362934362934363,0.277359796829095
2020-06-13,1.579502,45,104,0.347490347490348,0.289885322924637
2020-06-14,1.337087,38,105,0.293436293436293,0.245395002205337
2020-06-15,1.709136,55,106,0.424710424710425,0.313676995206162
2020-06-16,1.037136,31,107,0.239382239382239,0.190345124144678
2020-06-17,1.691057,52,108,0.401544401544402,0.310358964109554
2020-06-18,0.944032,28,109,0.216216216216216,0.173257787056421
2020-06-19,1.630073,49,110,0.378378378378378,0.299166596810724
2020-06-20,1.523358,45,111,0.347490347490348,0.279581238744762
2020-06-21,1.462766,44,112,0.33976833976834,0.268460815037385
2020-06-22,1.444759,51,113,0.393822393822394,0.265155998069819
2020-06-23,1.0886,36,114,0.277992277992278,0.199790289936803
2020-06-24,1.477684,49,115,0.378378378378378,0.271198709163122
2020-06-25,1.072961,35,116,0.27027027027027,0.196920070991073
2020-06-26,1.899673,64,117,0.494208494208494,0.348646168891343
2020-06-27,1.404311,43,118,0.332046332046332,0.257732594021166
2020-06-28,1.440733,44,119,0.33976833976834,0.264417108020871
2020-06-29,1.804424,62,120,0.478764478764479,0.331165160875368
2020-06-30,1.262545,39,121,0.301158301158301,0.231714340996014
2020-07-01,1.233366,38,122,0.293436293436293,0.226359131672051
2020-07-02,1.526718,50,123,0.386100386100386,0.28019789810007
2020-07-03,1.310616,40,124,0.308880308880309,0.240536790957021
2020-07-04,1.019368,30,125,0.231660231660232,0.18708417074435
2020-07-05,1.586369,54,126,0.416988416988417,0.291145620482047
2020-07-06,1.137656,40,127,0.308880308880309,0.208793516524291
2020-07-07,2.372372,79,128,0.61003861003861,0.435400413115886
2020-07-08,1.43031,47,129,0.362934362934363,0.262504179312428
2020-07-09,1.278928,42,130,0.324324324324324,0.234721105941848
2020-07-10,1.758109,58,131,0.447876447876448,0.322664988839337
2020-07-11,1.97201,62,132,0.478764478764479,0.361922147398746
2020-07-12,1.401869,45,133,0.347490347490348,0.257284414811148
2020-07-13,1.560758,56,134,0.432432432432432,0.286445244663958
2020-07-14,1.471454,50,135,0.386100386100386,0.270055319941823
2020-07-15,1.217744,42,136,0.324324324324324,0.223492032729012
2020-07-16,1.527861,51,137,0.393822393822394,0.280407672398616
2020-07-17,1.084337,36,138,0.277992277992278,0.199007903379757
2020-07-18,1.955219,62,139,0.478764478764479,0.358840502388339
2020-07-19,1.234959,39,140,0.301158301158301,0.226651494277112
2020-07-20,1.463018,54,141,0.416988416988417,0.268507064489033
2020-07-21,1.366279,47,142,0.362934362934363,0.25075259741371
2020-07-22,1.486014,51,143,0.393822393822394,0.272727510481488
2020-07-23,1.110083,36,144,0.277992277992278,0.2037330556898
2020-07-24,1.414958,49,145,0.378378378378378,0.259686633353297
2020-07-25,1.002192,32,146,0.247104247104247,0.18393186684948
2020-07-26,1.069029,35,147,0.27027027027027,0.196198432721707
2020-07-27,1.219174,44,148,0.33976833976834,0.223754480014157
