"time","date","alos","lag.alos","smooth.alos"
116,2020-06-25,15.4,12.8,13.7886820285391
117,2020-06-26,15.4,12.8,13.6747494715692
118,2020-06-27,15.4,12.8,13.5587909857559
119,2020-06-28,15.4,12.8,13.4412227892008
120,2020-06-29,15.4,12.8,13.3224611000056
121,2020-06-30,15.4,12.8,13.2029221362718
122,2020-07-01,12.8,12.8,13.0830221161011
123,2020-07-02,12.8,12.8,12.9631772575952
124,2020-07-03,12.8,12.8,12.8438037788556
125,2020-07-04,12.8,12.8,12.7253178979841
126,2020-07-05,12.8,12.8,12.6081358330822
127,2020-07-06,12.8,12.8,12.4926738022516
128,2020-07-07,12.8,12.8,12.3793480235939
129,2020-07-08,12.8,12.8,12.2685747152108
130,2020-07-09,12.8,12.8,12.1607700952039
131,2020-07-10,12.8,12.8,12.0563503816749
132,2020-07-11,12.8,12.8,11.9556385996963
133,2020-07-12,12.8,12.8,11.8585850022244
134,2020-07-13,12.8,12.8,11.7650466491866
135,2020-07-14,12.8,12.8,11.6748806005102
136,2020-07-15,12.8,12.8,11.5879439161224
137,2020-07-16,12.8,12.8,11.5040936559505
138,2020-07-17,12.8,12.8,11.4231868799218
139,2020-07-18,12.8,10.5,11.3450806479636
140,2020-07-19,12.8,10.5,11.2696320200032
141,2020-07-20,12.8,10.5,11.1966980559678
142,2020-07-21,12.8,10.5,11.1261358157848
143,2020-07-22,12.8,10.5,11.0578023593815
144,2020-07-23,12.8,10.5,10.9915547466851
145,2020-07-24,12.8,10.5,10.9272500376229
146,2020-07-25,12.8,10.5,10.8647452921223
147,2020-07-26,12.8,10.5,10.8038975701104
148,2020-07-27,12.8,10.5,10.7445639315146
149,2020-07-28,12.8,10.5,10.6866014362622
150,2020-07-29,12.8,10.5,10.6298671442804
151,2020-07-30,12.8,10.5,10.5742181154966
152,2020-07-31,12.8,10.5,10.5195114098381
153,2020-08-01,10.5,10.5,10.465604087232
154,2020-08-02,10.5,10.5,10.4123532076058
155,2020-08-03,10.5,10.5,10.3596158308866
156,2020-08-04,10.5,10.5,10.3072490170019
157,2020-08-05,10.5,10.5,10.2551098258788
158,2020-08-06,10.5,10.5,10.2030553174447
159,2020-08-07,10.5,10.5,10.1509425516268
160,2020-08-08,10.5,10.5,10.0986285883525
161,2020-08-09,10.5,10.5,10.045970487549
162,2020-08-10,10.5,10.5,9.99282530914359
163,2020-08-11,10.5,10.5,9.93905011306359
164,2020-08-12,10.5,10.5,9.88450195923629
165,2020-08-13,10.5,10.5,9.82907367705703
166,2020-08-14,10.5,10.5,9.77280117379346
167,2020-08-15,10.5,10.5,9.71575612618129
168,2020-08-16,10.5,10.5,9.65801021095623
169,2020-08-17,10.5,10.5,9.59963510485399
170,2020-08-18,10.5,8.5,9.54070248461028
171,2020-08-19,10.5,8.5,9.48128402696082
172,2020-08-20,10.5,8.5,9.42145140864132
173,2020-08-21,10.5,8.5,9.36127630638748
174,2020-08-22,10.5,8.5,9.30083039693502
175,2020-08-23,10.5,8.5,9.24018535701966
176,2020-08-24,10.5,8.5,9.1794128633771
177,2020-08-25,10.5,8.5,9.11858459274304
178,2020-08-26,10.5,8.5,9.05777222185322
179,2020-08-27,10.5,8.5,8.99704742744334
180,2020-08-28,10.5,8.5,8.9364818862491
181,2020-08-29,10.5,8.5,8.87614727500622
182,2020-08-30,10.5,8.5,8.81611527045042
183,2020-08-31,10.5,8.5,8.7564575493174
184,2020-09-01,8.5,8.5,8.69724578834287
185,2020-09-02,8.5,8.5,8.63855166426255
186,2020-09-03,8.5,8.5,8.58044685381215
187,2020-09-04,8.5,8.5,8.52300303372738
188,2020-09-05,8.5,8.5,8.46629188074395
189,2020-09-06,8.5,8.5,8.41038507159757
190,2020-09-07,8.5,8.5,8.35535428302396
191,2020-09-08,8.5,8.5,8.30127119175882
192,2020-09-09,8.5,8.5,8.24820747453787
193,2020-09-10,8.5,8.5,8.19623480809682
194,2020-09-11,8.5,8.5,8.14542486917138
195,2020-09-12,8.5,8.5,8.09584933449727
196,2020-09-13,8.5,8.5,8.04757988081018
197,2020-09-14,8.5,8.5,8.00068818484584
198,2020-09-15,8.5,8.5,7.95522958121801
199,2020-09-16,8.5,8.5,7.91119403605266
