"q_Is","beta_pre","k_A","k_Is","gamma_H","gamma_NH","m_H","m_NH_mult","H_lag","D_lag","school_closure_effect","lockdown_effect","time_num","q_H","m_Hbar_mult","distancing_effect","testing_effect_Im","testing_effect_A"
0.03,2,0.4,0.7,0.11,0.075,0.23,1.58,5,9,0.16,0.71,11,0.593241551939925,1.5699551986307,0.698036147888926,0.466197158822089,0.224360616710388
0.03,2,0.4,0.7,0.11,0.075,0.23,1.58,5,9,0.16,0.71,11,0.593241551939925,1.05485566278066,0.708396883605539,0.561587459687266,0.202136600829002
0.03,2,0.4,0.7,0.11,0.075,0.23,1.58,5,9,0.16,0.71,11,0.593241551939925,1.25040006288247,0.698805821072099,0.625638274844977,0.157468112027769
0.0217831228357824,1.9169975184134,0.402195061233028,0.726843490930708,0.097057249045928,0.0761837231902821,0.219188404110493,1.60889308598188,6,8,0.15661753692434,0.716641114537638,13,0.61306845421362,1.57659908683237,0.685460713947069,0.493067188322471,0.232847890766592
0.0217831228357824,1.9169975184134,0.402195061233028,0.726843490930708,0.097057249045928,0.0761837231902821,0.219188404110493,1.60889308598188,6,8,0.15661753692434,0.716641114537638,13,0.61306845421362,1.55965019775319,0.679403728374151,0.533694025334729,0.190836864134319
0.0233651516840249,1.81254052228341,0.417613775391696,0.753524907679882,0.0935312428162861,0.0705270579721204,0.219218301553892,1.64398801436742,6,8,0.157579413074125,0.734594316943838,14,0.614199144189857,1.08775989304208,0.668608884688225,0.550398655287137,0.202879913413699
0.0233651516840249,1.81254052228341,0.417613775391696,0.753524907679882,0.0935312428162861,0.0705270579721204,0.219218301553892,1.64398801436742,6,8,0.157579413074125,0.734594316943838,14,0.614199144189857,1.41862619426338,0.696768455342913,0.535105849516226,0.242655133175027
0.0233651516840249,1.81254052228341,0.417613775391696,0.753524907679882,0.0935312428162861,0.0705270579721204,0.219218301553892,1.64398801436742,6,8,0.157579413074125,0.734594316943838,14,0.614199144189857,1.105185715945,0.705847685824843,0.487619365464057,0.15695239859249
0.0233651516840249,1.81254052228341,0.417613775391696,0.753524907679882,0.0935312428162861,0.0705270579721204,0.219218301553892,1.64398801436742,6,8,0.157579413074125,0.734594316943838,14,0.614199144189857,1.21531290686269,0.734494079416612,0.470817350942493,0.229947656912063
0.0233651516840249,1.81254052228341,0.417613775391696,0.753524907679882,0.0935312428162861,0.0705270579721204,0.219218301553892,1.64398801436742,6,8,0.157579413074125,0.734594316943838,14,0.614199144189857,1.69975109571601,0.693877614538343,0.466650518811681,0.191274872445123
0.0233651516840249,1.81254052228341,0.417613775391696,0.753524907679882,0.0935312428162861,0.0705270579721204,0.219218301553892,1.64398801436742,6,8,0.157579413074125,0.734594316943838,14,0.614199144189857,1.70782306773455,0.630882665776789,0.480868888980408,0.17668756933628
0.0241813684137219,1.78183147762184,0.454331954101969,0.766390209579953,0.0979255838283453,0.0674778126370665,0.207674367851656,1.57347992678479,5,7,0.148301260024251,0.7330167608437,13,0.588626254243808,1.62145296069979,0.690449250732299,0.549308693526163,0.23738373083911
