"date","time","rel.cases.old.prop_cum","rel.cases.old.prop_daily","sev.measure"
2020-06-17,108,0.998752716782052,0.945982721238293,1.00001628848998
2020-06-18,109,0.998632932663247,1.23951507806994,0.987719210479516
2020-06-19,110,0.997943939533802,1.03773355373298,0.975417499990339
2020-06-20,111,0.997637045540003,0.843158512408043,0.963114668788716
2020-06-21,112,0.997501105690262,0.999298977668792,0.950814228640919
2020-06-22,113,0.998007820083634,1.55660033059946,0.938519691313218
2020-06-23,114,0.997872475415503,0.722707296349751,0.926234568571886
2020-06-24,115,0.99697966122052,0.632368884306033,0.913962372183194
2020-06-25,116,0.996866223561455,1.19339358679292,0.901706613913413
2020-06-26,117,0.996869405170959,1.29891987046645,0.889470805528815
2020-06-27,118,0.995708079587496,0.585048763711704,0.87725845879567
2020-06-28,119,0.994896438184643,0.843158512408043,0.865073085480251
2020-06-29,120,0.993425884299922,0.710028220975194,0.852918197348829
2020-06-30,121,0.992688448435045,0.523339766322234,0.840797306167675
2020-07-01,122,0.992703157414924,1.30408516585777,0.828713923703061
2020-07-02,123,0.9921365752379,0.807532096390802,0.816671561721258
2020-07-03,124,0.991268144170815,0.677131160543845,0.804673731988537
2020-07-04,125,0.99039971310373,0.677131160544044,0.792723946271169
2020-07-05,126,0.989531282036646,0.677131160543845,0.780825716335427
2020-07-06,127,0.989157905313592,0.887535276218993,0.768982553947581
2020-07-07,128,0.988564389589458,0.82153906337194,0.757197970873903
2020-07-08,129,0.987401989051205,0.573347788437469,0.745475478880665
2020-07-09,130,0.987087892446666,1.03773355373298,0.733818589734137
2020-07-10,131,0.986269671975937,0.604956780203006,0.722230815200591
2020-07-11,132,0.985451451505208,0.60495678020323,0.710716413436389
2020-07-12,133,0.984633231034479,0.604956780203006,0.699282628158252
2020-07-13,134,0.984402884330299,0.532521165731396,0.687937449472992
2020-07-14,135,0.983633161965347,0.818600497483537,0.676688867487422
2020-07-15,136,0.982435874302026,0.639637492171619,0.665544872308352
2020-07-16,137,0.981807458752321,1.00710600093183,0.654513454042596
2020-07-17,138,0.981145907262182,0.517275160986431,0.643602602796964
2020-07-18,139,0.980484355772043,0.517275160986726,0.632820308678269
2020-07-19,140,0.979822804281903,0.517275160986431,0.622174561793323
2020-07-20,141,0.978824771032992,0.64069378142811,0.611673352248937
2020-07-21,142,0.977783567846126,0.764112401869789,0.601324670151924
2020-07-22,143,0.975127057185924,0.682741405727469,0.591136505609095
2020-07-23,144,0.96939751226675,0.601370409585149,0.581116848727263
2020-07-24,145,0.96827755163778,0.228100853598371,0.571273689613238
2020-07-25,146,0.967157591008811,0.228100853598193,0.561615018373834
2020-07-26,147,0.966037630379842,0.228100853598371,0.552148825115862
2020-07-27,148,0.964925179782577,0.502307198881388,0.542883099946133
2020-07-28,149,0.959666746257502,0.524470089791612,0.53382583297146
2020-07-29,150,0.958040002114909,0.441036760336515,0.524985014298655
