"q_Is","beta_pre","k_A","gamma_H","m_H","H_lag","D_lag","tot_lockdown_effect","school_closure_prop","ph1_release_effect","testing_effect","E_init","time_num","ramp_time","lam_d","lam_h","lam_ch","sd_e","school_closure_effect","lockdown_effect","m_Hbar_mult"
0.06,1,0.385658650072291,0.11,0.213001695715357,2,3,0.77,0.33,0.01,0.025,28,18,15,103559.086571913,83699.9170505442,22151.9035345409,0.116358825259376,0.2541,0.5159,1.60258984321698
0.0595876948738193,0.992012984013337,0.384965110431723,0.11605253999204,0.224746966551826,3,3,0.780564424589194,0.404229671202191,-0.023615729709593,0.0213313009923938,33.5010130831651,17,18,68280.4545461822,62417.4849073622,19692.5933321263,0.0861174571701876,0.315527300703817,0.465037123885376,1.12029717052104
0.0595876948738193,0.992012984013337,0.384965110431723,0.11605253999204,0.224746966551826,3,3,0.780564424589194,0.404229671202191,-0.023615729709593,0.0213313009923938,33.5010130831651,17,18,68280.4545461822,62417.4849073622,19692.5933321263,0.0861174571701876,0.315527300703817,0.465037123885376,1.37194704712958
0.0515040634316787,0.99089510358433,0.397110826571087,0.12245744064981,0.234393148420788,2,3,0.784222055657826,0.314169871097287,-0.0186314057502297,0.0200482422979135,31.5517363518133,17,18,51627.7093049696,49740.3218290259,33709.6736893076,0.070054520500423,0.246378942137668,0.537843113520158,1.31988583423452
0.053782638817637,1.04095894748655,0.358993539139044,0.121432796907895,0.214564231026205,3,3,0.784271553310493,0.370954844766969,-0.0316546134455508,0.0299896386910348,28.6161718416866,17,20,50711.7572491251,66677.1501406901,28092.024106047,0.0494943839448414,0.290929332313443,0.493342220997049,1.85583304781954
0.0565154654578345,1.02852011820738,0.373331345425986,0.109638331268585,0.215713358865635,3,3,0.797439699973937,0.368175567539521,-0.00519399625264367,0.0176745944248142,26.1525919392894,17,21,47619.8438483168,59299.3613590253,20200.2259566002,0.0510122696050804,0.29359781411645,0.503841885857487,1.48846369258604
0.0565154654578345,1.02852011820738,0.373331345425986,0.109638331268585,0.215713358865635,3,3,0.797439699973937,0.368175567539521,-0.00519399625264367,0.0176745944248142,26.1525919392894,17,21,47619.8438483168,59299.3613590253,20200.2259566002,0.0510122696050804,0.29359781411645,0.503841885857487,1.15985305986347
0.0565154654578345,1.02852011820738,0.373331345425986,0.109638331268585,0.215713358865635,3,3,0.797439699973937,0.368175567539521,-0.00519399625264367,0.0176745944248142,26.1525919392894,17,21,47619.8438483168,59299.3613590253,20200.2259566002,0.0510122696050804,0.29359781411645,0.503841885857487,1.4857080284728
0.0565154654578345,1.02852011820738,0.373331345425986,0.109638331268585,0.215713358865635,3,3,0.797439699973937,0.368175567539521,-0.00519399625264367,0.0176745944248142,26.1525919392894,17,21,47619.8438483168,59299.3613590253,20200.2259566002,0.0510122696050804,0.29359781411645,0.503841885857487,1.55767360090368
0.0565154654578345,1.02852011820738,0.373331345425986,0.109638331268585,0.215713358865635,3,3,0.797439699973937,0.368175567539521,-0.00519399625264367,0.0176745944248142,26.1525919392894,17,21,47619.8438483168,59299.3613590253,20200.2259566002,0.0510122696050804,0.29359781411645,0.503841885857487,1.47181346114131
