Date,County,Capacity
2020-04-14,Tolland,126
2020-04-14,Windham,94
2020-04-15,Fairfield,2486
2020-04-15,Hartford,2295
2020-04-15,Litchfield,196
2020-04-15,Middlesex,160
2020-04-15,New Haven,2183
2020-04-15,New London,420
2020-04-15,Tolland,128
2020-04-15,Windham,100
2020-04-16,Fairfield,2494
2020-04-16,Hartford,2300
2020-04-16,Litchfield,196
2020-04-16,Middlesex,160
2020-04-16,New Haven,2191
2020-04-16,New London,420
2020-04-16,Tolland,123
2020-04-16,Windham,98
2020-04-17,Fairfield,2498
2020-04-17,Hartford,2297
2020-04-17,Litchfield,194
2020-04-17,Middlesex,160
2020-04-17,New Haven,2186
2020-04-17,New London,421
2020-04-17,Tolland,126
2020-04-17,Windham,95
2020-04-18,Fairfield,2522
2020-04-18,Hartford,2289
2020-04-18,Litchfield,194
2020-04-18,Middlesex,160
2020-04-18,New Haven,2213
2020-04-18,New London,422
2020-04-18,Tolland,124
2020-04-18,Windham,97
2020-04-19,Fairfield,2522
2020-04-19,Hartford,2288
2020-04-19,Litchfield,194
2020-04-19,Middlesex,160
2020-04-19,New Haven,2203
2020-04-19,New London,421
2020-04-19,Tolland,124
2020-04-19,Windham,94
2020-04-20,Fairfield,2530
2020-04-20,Hartford,2305
2020-04-20,Litchfield,191
2020-04-20,Middlesex,160
2020-04-20,New Haven,2203
2020-04-20,New London,421
2020-04-20,Tolland,124
2020-04-20,Windham,96
2020-04-21,Fairfield,2571
2020-04-21,Hartford,2288
2020-04-21,Litchfield,192
2020-04-21,Middlesex,160
2020-04-21,New Haven,2208
2020-04-21,New London,422
2020-04-21,Tolland,125
2020-04-21,Windham,96
2020-04-22,Fairfield,2569
2020-04-22,Hartford,2315
2020-04-22,Litchfield,188
2020-04-22,Middlesex,160
2020-04-22,New Haven,2221
2020-04-22,New London,422
2020-04-22,Tolland,124
2020-04-22,Windham,96
2020-04-23,Fairfield,2562
2020-04-23,Hartford,2297
2020-04-23,Litchfield,190
2020-04-23,Middlesex,160
2020-04-23,New Haven,2212
2020-04-23,New London,421
2020-04-23,Tolland,126
2020-04-23,Windham,95
2020-04-24,Fairfield,2563
2020-04-24,Hartford,2307
2020-04-24,Litchfield,191
2020-04-24,Middlesex,160
2020-04-24,New Haven,2224
2020-04-24,New London,423
2020-04-24,Tolland,127
2020-04-24,Windham,96
2020-04-25,Fairfield,2564
2020-04-25,Hartford,2300
2020-04-25,Litchfield,190
2020-04-25,Middlesex,160
2020-04-25,New Haven,2219
2020-04-25,New London,421
2020-04-25,Tolland,110
2020-04-25,Windham,98
2020-04-26,Fairfield,2564
2020-04-26,Hartford,2298
2020-04-26,Litchfield,198
2020-04-26,Middlesex,160
2020-04-26,New Haven,2202
2020-04-26,New London,422
2020-04-26,Tolland,110
2020-04-26,Windham,96
