"time","date","rel_inc","rel_inc_reported","rel_inc_prop","ag_positive","ag_number","pcr_positive","pcr_number","pcr_positive_prop","rel_pcr_positive","rel_pcr_positive_prop","positive","number","positive_prop","rel_positive","rel_positive_prop","cli_percent","cli_count","cli_rel_count","cli_rel_percent"
153,2020-08-01,0.207393246671065,0.118843416466071,0.119292786946721,0,0,48,5374,0.00893189430591738,0.100149031296572,0.107531503568061,48,5374,0.00893189430591738,0.100149031296572,0.107531503568061,1.064496,34,0.287092882991556,0.225144337354654
154,2020-08-02,0.20692335764455,0.0956545062641683,0.0762707926848679,0,0,37,7218,0.00512607370462732,0.0771982116244411,0.0617130469730367,37,7218,0.00512607370462732,0.0771982116244411,0.0617130469730367,0.980082,31,0.261761158021713,0.207290504091349
155,2020-08-03,0.210048808199058,0.289344675771538,0.143872424366125,0,0,137,12127,0.0112971056320607,0.285842026825633,0.136006396065155,137,12127,0.0112971056320607,0.285842026825633,0.136006396065155,1.014957,38,0.32086851628468,0.214666679074856
156,2020-08-04,0.208117010241632,0.238266203333339,0.13184258903269,0,2,108,11120,0.00971223021582734,0.225335320417288,0.116926004981404,108,11122,0.00971048372594857,0.225335320417288,0.116904978906061,1.258993,42,0.354644149577805,0.266281080172352
157,2020-08-05,0.207378864881287,0.263143895199898,0.126767464807779,0,0,119,12581,0.00945870757491455,0.248286140089419,0.113873833758572,119,12581,0.00945870757491455,0.248286140089419,0.113873833758572,1.148021,47,0.39686369119421,0.242810144250638
158,2020-08-06,0.206507472238651,0.263244567728342,0.124657193671452,1,1,123,13010,0.00945426594926979,0.256631892697466,0.113820360814591,124,13011,0.00953039735608331,0.258718330849478,0.114736910469459,1.01152,36,0.303980699638118,0.213939742489385
159,2020-08-07,0.199156543984007,0.188321806928068,0.104791311786549,2,197,83,10635,0.0078044193700047,0.17317436661699,0.0939577787856629,85,10832,0.00784711964549483,0.177347242921013,0.0944718494484989,0.934579,34,0.287092882991556,0.197666472828996
160,2020-08-08,0.199224929394401,0.113676398943658,0.11171137458027,3,132,40,5247,0.00762340384981894,0.0834575260804769,0.0917785242638272,43,5379,0.00799405093883621,0.0897168405365127,0.0962407623300286,1.186492,39,0.329312424607961,0.250946884832445
161,2020-08-09,0.198567789464979,0.0895547577657171,0.0774034001339703,0,0,36,6380,0.00564263322884012,0.0751117734724292,0.0679319318387259,36,6380,0.00564263322884012,0.0751117734724292,0.0679319318387259,0.769003,26,0.219541616405308,0.16264661479117
162,2020-08-10,0.194704193550127,0.23788817798903,0.0991066200781212,1,171,105,15266,0.00687802960827984,0.219076005961252,0.082804928051375,106,15437,0.00686661916175423,0.221162444113264,0.0826675571388611,1.168106,46,0.388419782870929,0.247058186531463
163,2020-08-11,0.21463440591523,0.238744901206093,0.101250319311392,3,153,112,14402,0.00777669768087766,0.233681073025335,0.0936240360418305,115,14555,0.00790106492614222,0.239940387481371,0.0951212992672873,0.739523,27,0.227985524728589,0.156411499708337
164,2020-08-12,0.216888463827102,0.258543915693948,0.108530183075582,0,165,117,15447,0.00757428626917848,0.244113263785395,0.0911871953567671,117,15612,0.00749423520368947,0.244113263785395,0.0902234567432732,1.292135,46,0.388419782870929,0.273290720066356
165,2020-08-13,0.223566108593299,0.236199396324374,0.10858638386035,1,132,105,13901,0.00755341342349471,0.219076005961252,0.090935906167347,106,14033,0.00755362360151072,0.221162444113264,0.0909384365105536,1.264368,44,0.371531966224367,0.26741791000852
166,2020-08-14,0.243537704558488,0.327833293483791,0.148813184541071,1,150,152,13543,0.0112235103005243,0.317138599105812,0.135120378342077,153,13693,0.0111735923464544,0.319225037257824,0.134519413700946,1.311834,48,0.405307599517491,0.277457122102202
167,2020-08-15,0.255942357786571,0.129454804326761,0.102045662854978,1,146,54,7109,0.00759600506400338,0.112667660208644,0.0914486689684353,55,7255,0.00758097863542385,0.114754098360656,0.0912677650746953,0.941105,31,0.261761158021713,0.199046742877523
168,2020-08-16,0.265626587614762,0.136298271129096,0.0939535428150818,0,0,51,8978,0.00568055246157273,0.106408345752608,0.068388443298695,51,8978,0.00568055246157273,0.106408345752608,0.068388443298695,1.532078,48,0.405307599517491,0.324039438462563
169,2020-08-17,0.275579073776784,0.377689349745352,0.132210056572286,1,1,179,18416,0.00971980886185925,0.373472429210134,0.117017244664153,180,18417,0.0097735787587555,0.375558867362146,0.117664583029557,1.244044,47,0.39686369119421,0.263119318456841
170,2020-08-18,0.264821818613272,0.325577473802671,0.131443714198999,1,1,149,16131,0.00923687310148162,0.310879284649776,0.111203157902537,150,16132,0.00929828911480288,0.312965722801788,0.111942548229986,1.451298,52,0.439083232810615,0.306954207920119
171,2020-08-19,0.278501129869359,0.326333524491289,0.126757424281836,0,0,154,16628,0.00926148664902574,0.321311475409836,0.111499481580909,154,16628,0.00926148664902574,0.321311475409836,0.111499481580909,1.248581,44,0.371531966224367,0.264078908590179
172,2020-08-20,0.281947078609065,0.305866799458526,0.124436520548588,0,5,144,15766,0.00913357858683242,0.300447093889717,0.10995959029077,144,15771,0.00913068289899182,0.300447093889717,0.109924728966095,1.205857,42,0.354644149577805,0.255042644791029
173,2020-08-21,0.292515321100423,0.252532507339207,0.121274806231023,0,0,112,13104,0.00854700854700855,0.233681073025335,0.102897845472714,112,13104,0.00854700854700855,0.233681073025335,0.102897845472714,1.355381,50,0.422195416164053,0.286667453055802
174,2020-08-22,0.300105742109341,0.225209983119374,0.189661650770007,0,0,97,6671,0.0145405486433818,0.202384500745156,0.175054361905236,97,6671,0.0145405486433818,0.202384500745156,0.175054361905236,1.518309,51,0.430639324487334,0.321127250552945
175,2020-08-23,0.302640676375573,0.160419912307037,0.150076234032031,0,0,58,5633,0.0102964672465826,0.121013412816692,0.123959662591485,58,5633,0.0102964672465826,0.121013412816692,0.123959662591485,1.820896,61,0.515078407720145,0.385125376996946
176,2020-08-24,0.305604116068234,0.451667047184855,0.155237684354174,0,1,214,18840,0.0113588110403397,0.446497764530551,0.136749270432368,214,18841,0.0113582081630487,0.446497764530551,0.136742012363771,1.521011,59,0.498190591073583,0.321698732267796
177,2020-08-25,0.328540913495332,0.378710420865101,0.139431838998878,0,0,172,18462,0.00931643375582277,0.358867362146051,0.112160992432721,172,18462,0.00931643375582277,0.358867362146051,0.112160992432721,1.819686,66,0.55729794933655,0.384869458094292
178,2020-08-26,0.329426687927746,0.344078064354914,0.118259170569885,0,1,163,19388,0.00840726222405612,0.340089418777943,0.101215432794003,163,19389,0.00840682861416267,0.340089418777943,0.101210212543717,1.284613,45,0.379975874547648,0.271699792805398
179,2020-08-27,0.326652260907239,0.326610877307154,0.126529810684674,0,1,151,17317,0.00871975515389502,0.3150521609538,0.104977550151091,151,17318,0.00871925164568657,0.3150521609538,0.104971488391641,1.515602,51,0.430639324487334,0.320554711321967
180,2020-08-28,0.323233313977841,0.413090089328892,0.151717368814844,0,0,202,17053,0.011845423092711,0.421460506706408,0.142607616249465,202,17053,0.011845423092711,0.421460506706408,0.142607616249465,1.104972,40,0.337756332931242,0.233705141903255
181,2020-08-29,0.326897038969257,0.23141040414627,0.166115118977024,1,1,102,8098,0.0125957026426278,0.212816691505216,0.15164026770454,103,8099,0.0127176194591925,0.214903129657228,0.153108030101454,1.338887,45,0.379975874547648,0.28317891885715
182,2020-08-30,0.339343075797425,0.14099892316349,0.101138318065822,0,0,58,8258,0.00702349237103415,0.121013412816692,0.0845561612227945,58,8258,0.00702349237103415,0.121013412816692,0.0845561612227945,1.183801,38,0.32086851628468,0.250377729653073
183,2020-08-31,0.349282941938917,0.427734418679069,0.140649941048426,1,2,207,19352,0.0106965688300951,0.431892697466468,0.128776504728383,208,19354,0.0107471323757363,0.43397913561848,0.129385241677378,1.144343,44,0.371531966224367,0.242032235387862
184,2020-09-01,0.33239541292815,0.404356495805012,0.13664494213731,0,1,196,19318,0.0101459778444974,0.408941877794337,0.122147913468282,196,19319,0.0101454526631813,0.408941877794337,0.122141590785252,1.26322,43,0.363088057901086,0.267175104305837
185,2020-09-02,0.332678051051758,0.431200322152091,0.157429908547308,2,4,202,18259,0.0110630374062106,0.421460506706408,0.133188437477525,204,18263,0.0111701253901331,0.425633383010432,0.134477674847656,1.721014,57,0.481302774427021,0.364000011844181
186,2020-09-03,0.337144783275417,0.396189940297595,0.127634818037695,0,0,193,20098,0.00960294556672306,0.402682563338301,0.115610321853884,193,20098,0.00960294556672306,0.402682563338301,0.115610321853884,1.115138,40,0.337756332931242,0.235855283691995
187,2020-09-04,0.303920619711322,0.294877386253526,0.130475341876287,0,0,135,14447,0.00934450058835744,0.28166915052161,0.112498890374577,135,14447,0.00934450058835744,0.28166915052161,0.112498890374577,1.381839,49,0.413751507840772,0.292263405391677
188,2020-09-05,0.328396807961759,0.233388871011525,0.193840136262215,0,0,109,6879,0.0158453263555749,0.2274217585693,0.190762643307679,109,6879,0.0158453263555749,0.2274217585693,0.190762643307679,1.047443,34,0.287092882991556,0.221537572853041
189,2020-09-06,0.338792181339987,0.172266048729099,0.173494476104089,0,0,76,5467,0.0139015913663801,0.158569299552906,0.167361924628383,76,5467,0.0139015913663801,0.158569299552906,0.167361924628383,1.081248,35,0.295536791314837,0.228687439385442
190,2020-09-07,0.338979432242894,0.195165273730403,0.126545124302424,0,0,81,9170,0.00883315158124318,0.169001490312966,0.106342735173927,81,9170,0.00883315158124318,0.169001490312966,0.106342735173927,1.457976,51,0.430639324487334,0.308366626458896
191,2020-09-08,0.354028788747688,0.575689813558073,0.153027376888831,1,3,275,25694,0.0107028878337355,0.573770491803279,0.128852579516018,276,25697,0.0107405533719889,0.575856929955291,0.129306036735996,1.732926,68,0.574185765983112,0.366519438264354
192,2020-09-09,0.36640820193471,0.50396793579969,0.138105075424126,0,3,245,24636,0.00994479623315473,0.511177347242921,0.119725878408644,245,24639,0.00994358537278299,0.511177347242921,0.119711300802603,1.435671,52,0.439083232810615,0.303649047017832
193,2020-09-10,0.370471668773,0.397500696617942,0.132846380887312,0,1,191,19731,0.00968019867214029,0.398509687034277,0.116540375691994,191,19732,0.00967970808838435,0.398509687034277,0.116534469530648,1.322219,46,0.388419782870929,0.279653583097291
194,2020-09-11,0.42413555555955,0.400222881787081,0.163167446423038,0,0,192,15434,0.0124400673836983,0.400596125186289,0.149766567364199,192,15434,0.0124400673836983,0.400596125186289,0.149766567364199,1.341707,47,0.39686369119421,0.283775357952591
195,2020-09-12,0.400476756331133,0.320044763320683,0.244512845508314,0,0,152,7539,0.0201618251757528,0.317138599105812,0.24272917945175,152,7539,0.0201618251757528,0.317138599105812,0.24272917945175,1.231971,41,0.346200241254524,0.260565840017389
196,2020-09-13,0.391140026498448,0.200710316597125,0.159154623005962,0,1,88,7214,0.0121985029110064,0.183606557377049,0.146858361101617,88,7215,0.0121968121968122,0.183606557377049,0.146838006512413,1.276596,42,0.354644149577805,0.270004171447899
197,2020-09-14,0.40015273460744,0.570812481236259,0.168654690905593,0,0,277,22314,0.0124137312897732,0.577943368107303,0.149449505867401,277,22314,0.0124137312897732,0.577943368107303,0.149449505867401,1.614639,60,0.506634499396864,0.341501356249325
198,2020-09-15,0.405705112186949,0.410078218959154,0.12196951659071,0,1,195,23418,0.00832692800409941,0.406855439642325,0.100248285270304,195,23419,0.00832657244118024,0.406855439642325,0.100244004631281,1.501155,52,0.439083232810615,0.317499124225573
199,2020-09-16,0.408184281063318,0.438610826970889,0.147798823928304,0,4,203,20650,0.00983050847457627,0.42354694485842,0.118349962606413,203,20654,0.00982860462864336,0.42354694485842,0.118327042113994,1.952901,68,0.574185765983112,0.4130448602571
200,2020-09-17,0.410866844401619,0.460589653380889,0.154344585506128,1,1,220,19731,0.0111499670569155,0.459016393442623,0.134234987708056,221,19732,0.0112000810865599,0.461102831594635,0.134838312912425,1.559792,54,0.455971049457177,0.329901038849456
