Date,County,cum_hosp
2020-04-13,Fairfield,1555
2020-04-13,Hartford,677
2020-04-13,Litchfield,104
2020-04-13,Middlesex,206
2020-04-13,New Haven,1013
2020-04-13,New London,27
2020-04-13,Tolland,16
2020-04-13,Windham,15
2020-04-14,Fairfield,1665
2020-04-14,Hartford,753
2020-04-14,Litchfield,110
2020-04-14,Middlesex,226
2020-04-14,New Haven,1092
2020-04-14,New London,29
2020-04-14,Tolland,19
2020-04-14,Windham,19
2020-04-15,Fairfield,1764
2020-04-15,Hartford,852
2020-04-15,Litchfield,115
2020-04-15,Middlesex,238
2020-04-15,New Haven,1143
2020-04-15,New London,38
2020-04-15,Tolland,21
2020-04-15,Windham,23
2020-04-16,Fairfield,1852
2020-04-16,Hartford,932
2020-04-16,Litchfield,123
2020-04-16,Middlesex,251
2020-04-16,New Haven,1194
2020-04-16,New London,41
2020-04-16,Tolland,24
2020-04-16,Windham,26
2020-04-17,Fairfield,1903
2020-04-17,Hartford,1026
2020-04-17,Litchfield,126
2020-04-17,Middlesex,260
2020-04-17,New Haven,1250
2020-04-17,New London,45
2020-04-17,Tolland,33
2020-04-17,Windham,30
2020-04-18,Fairfield,1968
2020-04-18,Hartford,1088
2020-04-18,Litchfield,130
2020-04-18,Middlesex,268
2020-04-18,New Haven,1300
2020-04-18,New London,54
2020-04-18,Tolland,33
2020-04-18,Windham,30
2020-04-19,Fairfield,2034
2020-04-19,Hartford,1161
2020-04-19,Litchfield,133
2020-04-19,Middlesex,268
2020-04-19,New Haven,1344
2020-04-19,New London,58
2020-04-19,Tolland,34
2020-04-19,Windham,32
2020-04-20,Fairfield,2086
2020-04-20,Hartford,1246
2020-04-20,Litchfield,137
2020-04-20,Middlesex,282
2020-04-20,New Haven,1367
2020-04-20,New London,63
2020-04-20,Tolland,36
2020-04-20,Windham,33
2020-04-21,Fairfield,2164
2020-04-21,Hartford,1338
2020-04-21,Litchfield,145
2020-04-21,Middlesex,296
2020-04-21,New Haven,1417
2020-04-21,New London,71
2020-04-21,Tolland,36
2020-04-21,Windham,37
2020-04-22,Fairfield,2234
2020-04-22,Hartford,1400
2020-04-22,Litchfield,153
2020-04-22,Middlesex,303
2020-04-22,New Haven,1473
2020-04-22,New London,81
2020-04-22,Tolland,36
2020-04-22,Windham,40
2020-04-23,Fairfield,2284
2020-04-23,Hartford,1493
2020-04-23,Litchfield,160
2020-04-23,Middlesex,313
2020-04-23,New Haven,1524
2020-04-23,New London,85
2020-04-23,Tolland,36
2020-04-23,Windham,43
2020-04-24,Fairfield,2342
2020-04-24,Hartford,1573
2020-04-24,Litchfield,168
2020-04-24,Middlesex,321
2020-04-24,New Haven,1570
2020-04-24,New London,94
2020-04-24,Tolland,38
2020-04-24,Windham,46
2020-04-25,Fairfield,2401
2020-04-25,Hartford,1648
2020-04-25,Litchfield,176
2020-04-25,Middlesex,331
2020-04-25,New Haven,1623
2020-04-25,New London,105
2020-04-25,Tolland,39
2020-04-25,Windham,49
2020-04-26,Fairfield,2442
2020-04-26,Hartford,1704
2020-04-26,Litchfield,181
2020-04-26,Middlesex,343
2020-04-26,New Haven,1663
2020-04-26,New London,111
2020-04-26,Tolland,39
2020-04-26,Windham,51
2020-04-27,Fairfield,2486
2020-04-27,Hartford,1778
2020-04-27,Litchfield,186
2020-04-27,Middlesex,357
2020-04-27,New Haven,1703
2020-04-27,New London,120
2020-04-27,Tolland,40
2020-04-27,Windham,53
2020-04-28,Fairfield,2536
2020-04-28,Hartford,1867
2020-04-28,Litchfield,198
2020-04-28,Middlesex,376
2020-04-28,New Haven,1748
2020-04-28,New London,126
2020-04-28,Tolland,40
2020-04-28,Windham,57
2020-04-29,Fairfield,2588
2020-04-29,Hartford,1990
2020-04-29,Litchfield,209
2020-04-29,Middlesex,389
2020-04-29,New Haven,1797
2020-04-29,New London,141
2020-04-29,Tolland,40
2020-04-29,Windham,61
2020-04-30,Fairfield,2632
2020-04-30,Hartford,2094
2020-04-30,Litchfield,223
2020-04-30,Middlesex,408
2020-04-30,New Haven,1841
2020-04-30,New London,154
2020-04-30,Tolland,42
2020-04-30,Windham,63
2020-05-01,Fairfield,2668
2020-05-01,Hartford,2200
2020-05-01,Litchfield,233
2020-05-01,Middlesex,416
2020-05-01,New Haven,1894
2020-05-01,New London,173
2020-05-01,Tolland,43
2020-05-01,Windham,67
2020-05-02,Fairfield,2722
2020-05-02,Hartford,2282
2020-05-02,Litchfield,242
2020-05-02,Middlesex,428
2020-05-02,New Haven,1933
2020-05-02,New London,194
2020-05-02,Tolland,43
2020-05-02,Windham,75
2020-05-03,Fairfield,2751
2020-05-03,Hartford,2354
2020-05-03,Litchfield,250
2020-05-03,Middlesex,444
2020-05-03,New Haven,1958
2020-05-03,New London,206
2020-05-03,Tolland,43
2020-05-03,Windham,80
2020-05-04,Fairfield,2785
2020-05-04,Hartford,2501
2020-05-04,Litchfield,257
2020-05-04,Middlesex,454
2020-05-04,New Haven,2006
2020-05-04,New London,222
2020-05-04,Tolland,45
2020-05-04,Windham,89
2020-05-05,Fairfield,2830
2020-05-05,Hartford,2605
2020-05-05,Litchfield,270
2020-05-05,Middlesex,470
2020-05-05,New Haven,2055
2020-05-05,New London,244
2020-05-05,Tolland,45
2020-05-05,Windham,94
2020-05-06,Fairfield,2873
2020-05-06,Hartford,2705
2020-05-06,Litchfield,281
2020-05-06,Middlesex,481
2020-05-06,New Haven,2114
2020-05-06,New London,262
2020-05-06,Tolland,46
2020-05-06,Windham,98
2020-05-07,Fairfield,2912
2020-05-07,Hartford,2819
2020-05-07,Litchfield,301
2020-05-07,Middlesex,498
2020-05-07,New Haven,2150
2020-05-07,New London,280
2020-05-07,Tolland,46
2020-05-07,Windham,107
2020-05-08,Fairfield,2951
2020-05-08,Hartford,2904
2020-05-08,Litchfield,315
2020-05-08,Middlesex,512
2020-05-08,New Haven,2204
2020-05-08,New London,293
2020-05-08,Tolland,48
2020-05-08,Windham,111
2020-05-09,Fairfield,2995
2020-05-09,Hartford,2992
2020-05-09,Litchfield,326
2020-05-09,Middlesex,526
2020-05-09,New Haven,2252
2020-05-09,New London,311
2020-05-09,Tolland,49
2020-05-09,Windham,115
2020-05-10,Fairfield,3018
2020-05-10,Hartford,3061
2020-05-10,Litchfield,335
2020-05-10,Middlesex,537
2020-05-10,New Haven,2273
2020-05-10,New London,323
2020-05-10,Tolland,49
2020-05-10,Windham,122
2020-05-11,Fairfield,3040
2020-05-11,Hartford,3146
2020-05-11,Litchfield,348
2020-05-11,Middlesex,547
2020-05-11,New Haven,2316
2020-05-11,New London,335
2020-05-11,Tolland,49
2020-05-11,Windham,128
2020-05-12,Fairfield,3083
2020-05-12,Hartford,3253
2020-05-12,Litchfield,358
2020-05-12,Middlesex,565
2020-05-12,New Haven,2370
2020-05-12,New London,350
2020-05-12,Tolland,50
2020-05-12,Windham,136
2020-05-13,Fairfield,3115
2020-05-13,Hartford,3367
2020-05-13,Litchfield,372
2020-05-13,Middlesex,580
2020-05-13,New Haven,2412
2020-05-13,New London,375
2020-05-13,Tolland,50
2020-05-13,Windham,146
2020-05-14,Fairfield,3138
2020-05-14,Hartford,3440
2020-05-14,Litchfield,378
2020-05-14,Middlesex,601
2020-05-14,New Haven,2452
2020-05-14,New London,402
2020-05-14,Tolland,50
2020-05-14,Windham,152
2020-05-15,Fairfield,3169
2020-05-15,Hartford,3545
2020-05-15,Litchfield,385
2020-05-15,Middlesex,618
2020-05-15,New Haven,2492
2020-05-15,New London,422
2020-05-15,Tolland,50
2020-05-15,Windham,161
2020-05-16,Fairfield,3198
2020-05-16,Hartford,3638
2020-05-16,Litchfield,392
2020-05-16,Middlesex,636
2020-05-16,New Haven,2522
2020-05-16,New London,429
2020-05-16,Tolland,50
2020-05-16,Windham,165
2020-05-17,Fairfield,3223
2020-05-17,Hartford,3708
2020-05-17,Litchfield,403
2020-05-17,Middlesex,646
2020-05-17,New Haven,2545
2020-05-17,New London,441
2020-05-17,Tolland,50
2020-05-17,Windham,171
2020-05-18,Fairfield,3238
2020-05-18,Hartford,3795
2020-05-18,Litchfield,409
2020-05-18,Middlesex,657
2020-05-18,New Haven,2573
2020-05-18,New London,455
2020-05-18,Tolland,51
2020-05-18,Windham,180
2020-05-19,Fairfield,3265
2020-05-19,Hartford,3900
2020-05-19,Litchfield,423
2020-05-19,Middlesex,681
2020-05-19,New Haven,2608
2020-05-19,New London,477
2020-05-19,Tolland,51
2020-05-19,Windham,183
2020-05-20,Fairfield,3291
2020-05-20,Hartford,4025
2020-05-20,Litchfield,430
2020-05-20,Middlesex,704
2020-05-20,New Haven,2637
2020-05-20,New London,491
2020-05-20,Tolland,51
2020-05-20,Windham,190
2020-05-21,Fairfield,3309
2020-05-21,Hartford,4113
2020-05-21,Litchfield,443
2020-05-21,Middlesex,730
2020-05-21,New Haven,2663
2020-05-21,New London,505
2020-05-21,Tolland,51
2020-05-21,Windham,195
2020-05-22,Fairfield,3341
2020-05-22,Hartford,4208
2020-05-22,Litchfield,455
2020-05-22,Middlesex,744
2020-05-22,New Haven,2694
2020-05-22,New London,517
2020-05-22,Tolland,51
2020-05-22,Windham,200
2020-05-23,Fairfield,3379
2020-05-23,Hartford,4319
2020-05-23,Litchfield,461
2020-05-23,Middlesex,758
2020-05-23,New Haven,2735
2020-05-23,New London,534
2020-05-23,Tolland,51
2020-05-23,Windham,203
2020-05-24,Fairfield,3403
2020-05-24,Hartford,4396
2020-05-24,Litchfield,474
2020-05-24,Middlesex,767
2020-05-24,New Haven,2772
2020-05-24,New London,552
2020-05-24,Tolland,51
2020-05-24,Windham,209
2020-05-25,Fairfield,3427
2020-05-25,Hartford,4479
2020-05-25,Litchfield,484
2020-05-25,Middlesex,776
2020-05-25,New Haven,2801
2020-05-25,New London,570
2020-05-25,Tolland,51
2020-05-25,Windham,216
2020-05-26,Fairfield,3467
2020-05-26,Hartford,4583
2020-05-26,Litchfield,494
2020-05-26,Middlesex,785
2020-05-26,New Haven,2820
2020-05-26,New London,584
2020-05-26,Tolland,51
2020-05-26,Windham,224
2020-05-27,Fairfield,3497
2020-05-27,Hartford,4714
2020-05-27,Litchfield,516
2020-05-27,Middlesex,793
2020-05-27,New Haven,2851
2020-05-27,New London,604
2020-05-27,Tolland,53
2020-05-27,Windham,238
2020-05-28,Fairfield,3535
2020-05-28,Hartford,4819
2020-05-28,Litchfield,524
2020-05-28,Middlesex,799
2020-05-28,New Haven,2879
2020-05-28,New London,629
2020-05-28,Tolland,53
2020-05-28,Windham,245
2020-05-29,Fairfield,3564
2020-05-29,Hartford,4853
2020-05-29,Litchfield,533
2020-05-29,Middlesex,816
2020-05-29,New Haven,2888
2020-05-29,New London,632
2020-05-29,Tolland,53
2020-05-29,Windham,250
2020-05-30,Fairfield,3594
2020-05-30,Hartford,4890
2020-05-30,Litchfield,536
2020-05-30,Middlesex,824
2020-05-30,New Haven,2906
2020-05-30,New London,636
2020-05-30,Tolland,53
2020-05-30,Windham,251
2020-05-31,Fairfield,3617
2020-05-31,Hartford,4920
2020-05-31,Litchfield,546
2020-05-31,Middlesex,835
2020-05-31,New Haven,2915
2020-05-31,New London,640
2020-05-31,Tolland,53
2020-05-31,Windham,251
2020-06-01,Fairfield,3645
2020-06-01,Hartford,4950
2020-06-01,Litchfield,552
2020-06-01,Middlesex,844
2020-06-01,New Haven,2926
2020-06-01,New London,642
2020-06-01,Tolland,53
2020-06-01,Windham,254
2020-06-02,Fairfield,3668
2020-06-02,Hartford,4988
2020-06-02,Litchfield,560
2020-06-02,Middlesex,858
2020-06-02,New Haven,2937
2020-06-02,New London,646
2020-06-02,Tolland,53
2020-06-02,Windham,255
2020-06-03,Fairfield,3704
2020-06-03,Hartford,5013
2020-06-03,Litchfield,564
2020-06-03,Middlesex,872
2020-06-03,New Haven,2956
2020-06-03,New London,652
2020-06-03,Tolland,53
2020-06-03,Windham,260
2020-06-04,Fairfield,3727
2020-06-04,Hartford,5044
2020-06-04,Litchfield,577
2020-06-04,Middlesex,883
2020-06-04,New Haven,2978
2020-06-04,New London,654
2020-06-04,Tolland,53
2020-06-04,Windham,263
2020-06-05,Fairfield,3756
2020-06-05,Hartford,5086
2020-06-05,Litchfield,587
2020-06-05,Middlesex,889
2020-06-05,New Haven,3004
2020-06-05,New London,656
2020-06-05,Tolland,53
2020-06-05,Windham,268
2020-06-06,Fairfield,3780
2020-06-06,Hartford,5117
2020-06-06,Litchfield,595
2020-06-06,Middlesex,900
2020-06-06,New Haven,3019
2020-06-06,New London,660
2020-06-06,Tolland,53
2020-06-06,Windham,272
2020-06-07,Fairfield,3806
2020-06-07,Hartford,5128
2020-06-07,Litchfield,605
2020-06-07,Middlesex,909
2020-06-07,New Haven,3028
2020-06-07,New London,664
2020-06-07,Tolland,53
2020-06-07,Windham,272
2020-06-08,Fairfield,3829
2020-06-08,Hartford,5148
2020-06-08,Litchfield,612
2020-06-08,Middlesex,917
2020-06-08,New Haven,3046
2020-06-08,New London,669
2020-06-08,Tolland,54
2020-06-08,Windham,273
2020-06-09,Fairfield,3863
2020-06-09,Hartford,5178
2020-06-09,Litchfield,620
2020-06-09,Middlesex,925
2020-06-09,New Haven,3066
2020-06-09,New London,675
2020-06-09,Tolland,54
2020-06-09,Windham,275
2020-06-10,Fairfield,3908
2020-06-10,Hartford,5203
2020-06-10,Litchfield,632
2020-06-10,Middlesex,936
2020-06-10,New Haven,3094
2020-06-10,New London,679
2020-06-10,Tolland,54
2020-06-10,Windham,279
2020-06-11,Fairfield,3949
2020-06-11,Hartford,5234
2020-06-11,Litchfield,634
2020-06-11,Middlesex,953
2020-06-11,New Haven,3103
2020-06-11,New London,688
2020-06-11,Tolland,54
2020-06-11,Windham,281
2020-06-12,Fairfield,3977
2020-06-12,Hartford,5258
2020-06-12,Litchfield,641
2020-06-12,Middlesex,964
2020-06-12,New Haven,3129
2020-06-12,New London,694
2020-06-12,Tolland,54
2020-06-12,Windham,281
2020-06-13,Fairfield,4013
2020-06-13,Hartford,5268
2020-06-13,Litchfield,645
2020-06-13,Middlesex,973
