"q_Is","beta_pre","k_A","k_Is","gamma_H","gamma_NH","m_H","m_NH_mult","H_lag","D_lag","school_closure_effect","lockdown_effect","time_num","lam_d","lam_h","q_H","m_Hbar_mult","distancing_effect","testing_effect_Im","testing_effect_A"
0.05,1.48863837027224,0.413184625064023,0.707456537368707,0.11,0.075,0.225415305825882,1.58,5,10,0.15,0.7,13,77559.3123817816,64237.9158153199,0.593241551939925,1.43158742647542,0.633647530724058,0.453901471594953,0.199164790408727
0.0196289241542576,1.57442619449155,0.366636663916365,0.726462263672197,0.111304418101631,0.0781590039087341,0.206547463514099,1.60558573197982,8,8,0.145499011817571,0.712080438944004,16,72742.7577371282,46536.0173976942,0.60107800984939,1.83660764535999,0.720444455687608,0.468000451888951,0.253508674014963
0.0170437573284051,1.6377519930653,0.331496691025065,0.696885643545682,0.111321278597116,0.0763932874608076,0.204860221961182,1.6699483382277,7,8,0.140476837568452,0.69510455913885,16,58837.2263216657,68748.6071439378,0.611332983224664,1.79932121099776,0.719149808026032,0.40679590185473,0.231849414787666
0.0170437573284051,1.6377519930653,0.331496691025065,0.696885643545682,0.111321278597116,0.0763932874608076,0.204860221961182,1.6699483382277,7,8,0.140476837568452,0.69510455913885,16,58837.2263216657,68748.6071439378,0.611332983224664,1.60435344271955,0.727963419155548,0.463466685155282,0.208563322074757
0.0170437573284051,1.6377519930653,0.331496691025065,0.696885643545682,0.111321278597116,0.0763932874608076,0.204860221961182,1.6699483382277,7,8,0.140476837568452,0.69510455913885,16,58837.2263216657,68748.6071439378,0.611332983224664,1.28254284975649,0.704246626624231,0.482780559892174,0.171919303347325
0.041552156590487,1.44614500654719,0.407703956758332,0.699478339274178,0.107193865226918,0.0765109719412997,0.204245202721203,1.62162295702727,9,10,0.135577968061626,0.736076562224421,15,71715.4772859025,51306.2012903797,0.609347746246226,1.18089660786274,0.749529063489173,0.401207418524274,0.214238343597039
0.041552156590487,1.44614500654719,0.407703956758332,0.699478339274178,0.107193865226918,0.0765109719412997,0.204245202721203,1.62162295702727,9,10,0.135577968061626,0.736076562224421,15,71715.4772859025,51306.2012903797,0.609347746246226,1.84367656502506,0.684021850677626,0.449926581992171,0.165929984721839
0.041552156590487,1.44614500654719,0.407703956758332,0.699478339274178,0.107193865226918,0.0765109719412997,0.204245202721203,1.62162295702727,9,10,0.135577968061626,0.736076562224421,15,71715.4772859025,51306.2012903797,0.609347746246226,1.13444559713569,0.694805886732071,0.48368229817728,0.202467484616249
0.041552156590487,1.44614500654719,0.407703956758332,0.699478339274178,0.107193865226918,0.0765109719412997,0.204245202721203,1.62162295702727,9,10,0.135577968061626,0.736076562224421,15,71715.4772859025,51306.2012903797,0.609347746246226,1.14119088816802,0.678320814670963,0.537454672672955,0.177953971130993
0.041552156590487,1.44614500654719,0.407703956758332,0.699478339274178,0.107193865226918,0.0765109719412997,0.204245202721203,1.62162295702727,9,10,0.135577968061626,0.736076562224421,15,71715.4772859025,51306.2012903797,0.609347746246226,1.38396120932383,0.674826468070356,0.53492436675322,0.134711289999443
0.0540308387430478,1.36250641162981,0.371878657240388,0.720490169902692,0.106827866605643,0.0793725677504598,0.204986267891694,1.55311218843501,9,10,0.138555011919639,0.722850072300561,17,64276.370664137,54293.1695699499,0.595089007503318,1.4883913340989,0.718387673018909,0.461280333572866,0.210429627814856
0.0581815159910509,1.45011382693672,0.394875753793936,0.627322168415583,0.110527496946819,0.0648481394508831,0.194885015757216,1.72448716959474,8,8,0.14116645978592,0.719397769117735,14,54976.818613447,53743.842431721,0.614979891233514,1.18382670477563,0.730810182796163,0.543018148315461,0.172692402564868
0.0581815159910509,1.45011382693672,0.394875753793936,0.627322168415583,0.110527496946819,0.0648481394508831,0.194885015757216,1.72448716959474,8,8,0.14116645978592,0.719397769117735,14,54976.818613447,53743.842431721,0.614979891233514,1.17559363051369,0.674562168458706,0.527479368568002,0.236661458634589
0.0547928450376323,1.56611026771599,0.370112454214439,0.563062612846145,0.111223582464543,0.0715898765804684,0.200137659806339,1.63242329901919,5,10,0.136856283385721,0.733895855433429,13,57422.6157551421,59890.3003980174,0.586369096599966,1.26461773955763,0.688966790880442,0.583769367459136,0.225991495102327
0.0547928450376323,1.56611026771599,0.370112454214439,0.563062612846145,0.111223582464543,0.0715898765804684,0.200137659806339,1.63242329901919,5,10,0.136856283385721,0.733895855433429,13,57422.6157551421,59890.3003980174,0.586369096599966,1.20072500758073,0.729627920456217,0.453860468388617,0.222998025329213
0.0547928450376323,1.56611026771599,0.370112454214439,0.563062612846145,0.111223582464543,0.0715898765804684,0.200137659806339,1.63242329901919,5,10,0.136856283385721,0.733895855433429,13,57422.6157551421,59890.3003980174,0.586369096599966,1.78522440472085,0.662683835856099,0.525265157619438,0.219594867102942
0.0547928450376323,1.56611026771599,0.370112454214439,0.563062612846145,0.111223582464543,0.0715898765804684,0.200137659806339,1.63242329901919,5,10,0.136856283385721,0.733895855433429,13,57422.6157551421,59890.3003980174,0.586369096599966,1.88119887530246,0.679662349595453,0.460669677205761,0.193713126339857
0.0547928450376323,1.56611026771599,0.370112454214439,0.563062612846145,0.111223582464543,0.0715898765804684,0.200137659806339,1.63242329901919,5,10,0.136856283385721,0.733895855433429,13,57422.6157551421,59890.3003980174,0.586369096599966,1.38246835235331,0.682914358630207,0.527728048634997,0.190709069603884
