age_group,max_age,pr_severe,pr_age
age 0-9,9,0,0.10777288
age 10-19,19,0,0.131597508
age 20-29,29,0.01,0.129964674
age 30-39,39,0.03,0.120178841
age 40-49,49,0.04,0.130017724
age 50 -59,59,0.08,0.15052894
age 60-69,69,0.118,0.117838763
age 70-79,79,0.166,0.067066797
age 80+,100,0.184,0.045033874
