"time","date","daily_hdeath","daily_hosp_adm","movavg.daily_hdeath","movavg.daily_hosp_adm","hcfr","smooth.hcfr","rel.hcfr","smooth.rel_haz"
119,2020-06-28,0,14,0.892857142857143,15.8928571428571,0.0435540069686411,0.0425347319550267,0.425922774107136,0.410239049919298
120,2020-06-29,0,12,0.892857142857143,16,0.0448028673835125,0.0429674672596722,0.438135613508057,0.414412696068803
121,2020-06-30,0,14,0.821428571428571,16.6785714285714,0.0416666666666667,0.0434034871078929,0.407466120562493,0.418618020989368
122,2020-07-01,1,18,0.75,16.8214285714286,0.0382513661202186,0.043832675302097,0.374067258221305,0.422757455962486
123,2020-07-02,0,24,0.785714285714286,15.9642857142857,0.0416666666666667,0.0442449156446925,0.407466120562493,0.426733432269652
124,2020-07-03,0,20,0.928571428571428,15.6071428571429,0.0492424242424242,0.0446300919380878,0.481550869755674,0.430448381192357
125,2020-07-04,1,9,0.892857142857143,15.5,0.0464684014869888,0.0449780879846909,0.45442318278345,0.433804734012097
126,2020-07-05,1,7,0.857142857142857,15.2142857142857,0.0461538461538461,0.0452787875869099,0.4513470873923,0.436704922010363
127,2020-07-06,3,20,0.964285714285714,15.1071428571429,0.0537848605577689,0.045522074547153,0.52597220343525,0.439051376468649
128,2020-07-07,1,23,1,15.1785714285714,0.0579710144927536,0.0456978326678283,0.566909385130426,0.440746528668448
129,2020-07-08,0,20,1,15.2142857142857,0.0589473684210526,0.045795945751344,0.576457332669464,0.441692809891255
130,2020-07-09,2,5,1,14.2857142857143,0.0602150537634408,0.0458062976001082,0.588854264554829,0.44179265141856
131,2020-07-10,2,14,1,12.9642857142857,0.0629213483146067,0.045718772016529,0.61531962475954,0.440948484531859
132,2020-07-11,0,12,1,12.1071428571429,0.0625,0.0455232528030147,0.61119918084374,0.439062740512645
133,2020-07-12,2,16,0.964285714285714,11.75,0.0578158458244111,0.0452096237619733,0.565391961722689,0.43603785064241
134,2020-07-13,1,7,0.821428571428571,11.0357142857143,0.0488322717622081,0.044767768695813,0.477539911996808,0.431776246202648
135,2020-07-14,0,21,0.678571428571428,10.0357142857143,0.0425055928411633,0.0441875714069419,0.415670136412745,0.426180358474852
136,2020-07-15,1,12,0.607142857142857,9.5,0.0389016018306636,0.0434624823886656,0.380426034758575,0.419187018766513
