"q_Is","beta_pre","gamma_H","m_H","H_lag","D_lag","lockdown_effect","testing_effect","E_init","sd_d","sd_h","sd_e","m_Hbar_mult"
0.039156384515172,1.20100921873576,0.136168861256462,0.13438812585114,5,4,-1.39662675653206,0.0446528587728475,30.7756818184637,386.069014886618,330.263003261079,0.0430629944241624,1.66097888367419
0.0343093558964271,1.19699184371375,0.0989617317942058,0.13873445816026,5,5,-1.39873678738304,0.0356952924519394,28.8623160291955,398.281346081554,329.392783830183,0.0423496117994793,1.21610339632456
0.0259752916725639,1.20542285444624,0.0915926507770075,0.138825384781679,4,4,-1.38984540718506,0.0348819959580855,29.0121683767166,409.306484545124,336.013640904025,0.0397673327421481,1.77835173705517
0.0341424988586636,1.21672127266659,0.0942605744605585,0.120711027492672,2,2,-1.36614162448624,0.0336106423216917,31.2406151195422,392.027510596869,331.949534144493,0.039572023218189,1.66659238677792
0.039039823571723,1.17938226240651,0.108812480004075,0.16876111892479,4,3,-1.37959471734331,0.0335435991818931,27.9630397015081,365.499345715211,345.024968305602,0.0384498818150456,1.34861192147593
0.042175160108518,1.14785263369263,0.107512271602201,0.174417300643596,5,2,-1.31332371587921,0.047421260855935,28.2085723665417,425.475971279079,319.082315743858,0.0360413769119545,1.36689350599713
0.0469324672841066,1.14828606652046,0.132957258925076,0.146121902350291,5,1,-1.37761825767604,0.0442493556173197,29.5646761465939,436.233019032207,322.949996187775,0.0364621194849394,1.71677239134978
0.037211971029334,1.18106795744616,0.132585644110583,0.127377552981599,6,1,-1.39956215353749,0.0377951242380623,28.6493178709717,420.125487689541,331.069428252812,0.0330471168735116,1.8840020867197
0.0381648587687179,1.23779096378798,0.130290183580716,0.124550460195617,6,1,-1.43557121139075,0.0363022760572948,30.2818819389977,410.973321303449,314.258711494787,0.0354478004529995,1.48947516554121
0.0320039700747706,1.23856398151622,0.108375706385128,0.126747654113424,6,1,-1.45621243251954,0.037351341031745,31.9197626365344,372.249248113302,319.756423336273,0.036077792313129,1.59974637595068
0.0320039700747706,1.23856398151622,0.108375706385128,0.126747654113424,6,1,-1.45312255831361,0.0366438406289642,31.9197626365344,372.249248113302,319.756423336273,0.036077792313129,1.43308959770303
0.0362584927730544,1.21853259810843,0.122139217257623,0.129130881306825,6,0,-1.47514440225882,0.0379201597494606,30.5182049834819,367.802632299444,327.177518527927,0.0364781655784791,1.61103398736196
