"q_Is","beta_pre","gamma_H","m_H","H_lag","D_lag","lockdown_effect","testing_effect","E_init","sd_d","sd_h","sd_e","m_Hbar_mult"
0.0359543234139276,1.21484236472388,0.125195701336638,0.177152807475503,7,2,-1.47730128835096,0.0369361072400432,34.0559180133732,470.954704136756,485.972379114298,0.0378137369542009,1.49964720631619
0.0359543234139276,1.21484236472388,0.125195701336638,0.177152807475503,7,2,-1.52269274745459,0.0393772766722136,34.0559180133732,470.954704136756,485.972379114298,0.0378137369542009,1.44734141022383
0.0359543234139276,1.21484236472388,0.125195701336638,0.177152807475503,7,2,-1.53542433204581,0.0369850658652193,34.0559180133732,470.954704136756,485.972379114298,0.0378137369542009,1.47288481674066
0.0342946445245777,1.19596677926529,0.0947163066755597,0.185564883850298,8,0,-1.56569431178136,0.0338959176403356,30.5733066176379,479.462843729616,482.215252691124,0.0299842449937797,1.36352511557693
0.0415097062316829,1.15648938066047,0.0762375151244282,0.181856724747426,9,1,-1.58223223944788,0.0301512838079567,30.7096189199557,449.150414599053,488.711029235566,0.0339172336529881,1.66197387651566
0.0416139930470164,1.18306024755907,0.0633117461050599,0.184086662659843,9,1,-1.61257885161688,0.0278897137314618,30.8116560470643,463.106980508446,482.569541266943,0.040290693558475,1.86135679244666
0.048400828972247,1.194143130807,0.0980044419313235,0.152728670980169,8,1,-1.66998062077941,0.0364972694121645,31.6431776685182,477.051108423371,461.947647116196,0.0383576180331981,1.35934454852608
0.0412260098474981,1.24244358810649,0.106488761498599,0.119717142729482,9,2,-1.66492549341058,0.0308672972882831,33.1391524614855,493.547265625855,487.79388999972,0.0288887509423407,1.54183857270424
0.0443959089132159,1.24035666590996,0.123811222407804,0.123287812958414,9,2,-1.65639820782726,0.0356970317970605,32.5550698186064,506.981317246021,458.652262828048,0.0321084075274252,1.09909839500614
0.0443959089132159,1.24035666590996,0.123811222407804,0.123287812958414,9,2,-1.66080776165151,0.0387358705313908,32.5550698186064,506.981317246021,458.652262828048,0.0321084075274252,1.6237487025791
0.0524602979334693,1.22299161247992,0.11336825597436,0.134827663211042,9,2,-1.60290094962954,0.04534663869751,31.8611145348518,460.370019649122,461.165252737026,0.0329960262429657,1.34174589316774
0.0494968507109734,1.20678994252195,0.0946752620691791,0.128432052352135,9,3,-1.60283670048681,0.0442329466845102,31.1300166678067,460.641000294537,476.058374601986,0.0283499749586257,1.12801963248937
0.0444020079322749,1.20815917723318,0.126036715254597,0.117383364735682,9,3,-1.59546529781378,0.0396011872187322,32.0860205595581,494.351630473164,493.355850156492,0.0293789027418993,1.41365201849533
0.0444020079322749,1.20815917723318,0.126036715254597,0.117383364735682,9,3,-1.5396823177755,0.0150872337916209,32.0860205595581,494.351630473164,493.355850156492,0.0293789027418993,1.54041808475774
0.0496658898252945,1.18801731531743,0.127948230487266,0.110619283591729,10,4,-1.63150148784077,0.0115248616053155,35.4206459363934,444.263611516336,468.633515117655,0.0317324642725016,1.28111549646244
0.0487692640791748,1.15309257964002,0.139563191253212,0.127528568502765,10,4,-1.66054194868633,0.0113912171411522,34.4271790463332,418.632947805691,451.904458480954,0.0365869100140347,1.61952058193037
0.033816439908647,1.21149343572269,0.115380980104218,0.146634571702807,10,5,-1.65804760465092,0.0121346734864934,31.7701776252364,423.108343504369,443.453719190322,0.0362667148272381,1.07500729120702
0.0272309606347437,1.23016038225853,0.109032061312833,0.163541953056326,10,4,-1.6174023817295,0.0300137238517065,32.3804694967136,455.158451542674,456.166275983483,0.0414552100324089,1.55392054439262
0.043458972673977,1.17144411947175,0.117698074927208,0.127771824073488,9,5,-1.52336849891771,0.0293244816561163,34.2135103740479,447.320599511572,489.746449322079,0.0460339596915262,1.5658495720882
0.0454600913646411,1.1702246236038,0.119517055405705,0.131293871157932,9,5,-1.54366204691025,0.0339577467656835,35.7673562190872,446.74281251735,428.338463729216,0.0450829810789425,1.52927342353466
0.0464148541443498,1.15800304857796,0.113607607477281,0.121632725508443,10,5,-1.54040249198118,0.0321477793311866,38.7219362805057,438.728100004041,436.941804271993,0.0385430926273694,1.23591545847916
0.0404142053207384,1.19921034507357,0.15544281837289,0.15434958175342,11,5,-1.60478097643544,0.0315809118993053,34.3735081252189,459.473081172873,452.356937563867,0.0338133717170555,1.89131654661472
0.0404142053207384,1.19921034507357,0.15544281837289,0.15434958175342,11,5,-1.56068263897983,0.0324359914537876,34.3735081252189,459.473081172873,452.356937563867,0.0338133717170555,1.35327704077242
0.0394582298056583,1.17181265851476,0.154895736956452,0.155348381826821,11,6,-1.57448649548608,0.0287633501149498,32.9805238623587,479.601291611902,510.390928816415,0.0354292844328198,1.5328020830307
0.0398961680515263,1.13027780572852,0.120215518869259,0.202951616812749,10,6,-1.57235620272612,0.0183677773599048,32.8676447897346,460.359381132437,487.81077271616,0.0310137443494743,1.38424128971391
0.0398961680515263,1.13027780572852,0.120215518869259,0.202951616812749,10,6,-1.54740777530591,0.0255495962191479,32.8676447897346,460.359381132437,487.81077271616,0.0310137443494743,1.13709182435943
0.0398961680515263,1.13027780572852,0.120215518869259,0.202951616812749,10,6,-1.5638803715092,0.0161231534476067,32.8676447897346,460.359381132437,487.81077271616,0.0310137443494743,1.72859215324733
0.0397352366696133,1.14076655688203,0.127736267174271,0.192475589096993,11,7,-1.54701431204111,0.0169327297013683,37.2055528690076,472.643296632021,500.846910759173,0.0375845487377135,1.39939235062307
